Feature A,Feature B,Feature C,Accuracy
SL,SW,PL,88.333
SL,SW,PW,90.0
SL,PL,SW,88.333
SL,PL,PW,88.333
SL,PW,SW,90.0
SL,PW,PL,88.333
SW,SL,PL,88.333
SW,SL,PW,90.0
SW,PL,SL,88.333
SW,PL,PW,93.333
SW,PW,SL,90.0
SW,PW,PL,93.333
PL,SL,SW,88.333
PL,SL,PW,88.333
PL,SW,SL,88.333
PL,SW,PW,93.333
PL,PW,SL,88.333
PL,PW,SW,93.333
PW,SL,SW,90.0
PW,SL,PL,88.333
PW,SW,SL,90.0
PW,SW,PL,93.333
PW,PL,SL,88.333
PW,PL,SW,93.333
