Feature A,Feature B,Feature C,Accuracy
SL,SW,PL,91.111
SL,SW,PW,93.333
SL,PL,SW,91.111
SL,PL,PW,97.778
SL,PW,SW,93.333
SL,PW,PL,97.778
SW,SL,PL,91.111
SW,SL,PW,93.333
SW,PL,SL,91.111
SW,PL,PW,97.778
SW,PW,SL,93.333
SW,PW,PL,97.778
PL,SL,SW,91.111
PL,SL,PW,97.778
PL,SW,SL,91.111
PL,SW,PW,97.778
PL,PW,SL,97.778
PL,PW,SW,97.778
PW,SL,SW,93.333
PW,SL,PL,97.778
PW,SW,SL,93.333
PW,SW,PL,97.778
PW,PL,SL,97.778
PW,PL,SW,97.778
