Feature A,Feature B,Feature C,Accuracy
SL,SW,PL,90.476
SL,SW,PW,88.571
SL,PL,SW,90.476
SL,PL,PW,88.571
SL,PW,SW,88.571
SL,PW,PL,88.571
SW,SL,PL,90.476
SW,SL,PW,88.571
SW,PL,SL,90.476
SW,PL,PW,88.571
SW,PW,SL,88.571
SW,PW,PL,88.571
PL,SL,SW,90.476
PL,SL,PW,88.571
PL,SW,SL,90.476
PL,SW,PW,88.571
PL,PW,SL,88.571
PL,PW,SW,88.571
PW,SL,SW,88.571
PW,SL,PL,88.571
PW,SW,SL,88.571
PW,SW,PL,88.571
PW,PL,SL,88.571
PW,PL,SW,88.571
