Feature A,Feature B,Feature C,Accuracy
SL,SW,PL,93.333
SL,SW,PW,90.0
SL,PL,SW,93.333
SL,PL,PW,92.222
SL,PW,SW,90.0
SL,PW,PL,92.222
SW,SL,PL,93.333
SW,SL,PW,90.0
SW,PL,SL,93.333
SW,PL,PW,91.111
SW,PW,SL,90.0
SW,PW,PL,91.111
PL,SL,SW,93.333
PL,SL,PW,92.222
PL,SW,SL,93.333
PL,SW,PW,91.111
PL,PW,SL,92.222
PL,PW,SW,91.111
PW,SL,SW,90.0
PW,SL,PL,92.222
PW,SW,SL,90.0
PW,SW,PL,91.111
PW,PL,SL,92.222
PW,PL,SW,91.111
