Feature A,Feature B,Feature C,Accuracy
SL,SW,PL,95.556
SL,SW,PW,95.556
SL,PL,SW,95.556
SL,PL,PW,97.778
SL,PW,SW,95.556
SL,PW,PL,97.778
SW,SL,PL,95.556
SW,SL,PW,95.556
SW,PL,SL,95.556
SW,PL,PW,95.556
SW,PW,SL,95.556
SW,PW,PL,95.556
PL,SL,SW,95.556
PL,SL,PW,97.778
PL,SW,SL,95.556
PL,SW,PW,95.556
PL,PW,SL,97.778
PL,PW,SW,95.556
PW,SL,SW,95.556
PW,SL,PL,97.778
PW,SW,SL,95.556
PW,SW,PL,95.556
PW,PL,SL,97.778
PW,PL,SW,95.556
