Feature A,Feature B,Feature C,Accuracy
SL,SW,PL,93.333
SL,SW,PW,96.667
SL,PL,SW,93.333
SL,PL,PW,100.0
SL,PW,SW,96.667
SL,PW,PL,100.0
SW,SL,PL,93.333
SW,SL,PW,96.667
SW,PL,SL,93.333
SW,PL,PW,100.0
SW,PW,SL,96.667
SW,PW,PL,100.0
PL,SL,SW,93.333
PL,SL,PW,100.0
PL,SW,SL,93.333
PL,SW,PW,100.0
PL,PW,SL,100.0
PL,PW,SW,100.0
PW,SL,SW,96.667
PW,SL,PL,100.0
PW,SW,SL,96.667
PW,SW,PL,100.0
PW,PL,SL,100.0
PW,PL,SW,100.0
