Feature A,Feature B,Accuracy
SL,SW,73.333
SL,PL,90.0
SL,PW,93.333
SW,SL,73.333
SW,PL,91.667
SW,PW,93.333
PL,SL,90.0
PL,SW,91.667
PL,PW,90.0
PW,SL,93.333
PW,SW,93.333
PW,PL,90.0
