Feature A,Feature B,Accuracy
SL,SW,76.667
SL,PL,96.667
SL,PW,96.667
SW,SL,76.667
SW,PL,96.667
SW,PW,96.667
PL,SL,96.667
PL,SW,96.667
PL,PW,100.0
PW,SL,96.667
PW,SW,96.667
PW,PL,100.0
