Feature A,Feature B,Accuracy
SL,SW,82.222
SL,PL,93.333
SL,PW,97.778
SW,SL,82.222
SW,PL,93.333
SW,PW,95.556
PL,SL,93.333
PL,SW,93.333
PL,PW,95.556
PW,SL,97.778
PW,SW,95.556
PW,PL,95.556
