Feature A,Feature B,Accuracy
SL,SW,65.714
SL,PL,86.667
SL,PW,84.762
SW,SL,65.714
SW,PL,88.571
SW,PW,89.524
PL,SL,86.667
PL,SW,88.571
PL,PW,88.571
PW,SL,84.762
PW,SW,89.524
PW,PL,88.571
