Feature A,Feature B,Accuracy
SL,SW,65.333
SL,PL,94.667
SL,PW,94.667
SW,SL,65.333
SW,PL,90.667
SW,PW,93.333
PL,SL,94.667
PL,SW,90.667
PL,PW,92.0
PW,SL,94.667
PW,SW,93.333
PW,PL,92.0
