Feature A,Feature B,Accuracy
SL,SW,71.667
SL,PL,87.5
SL,PW,84.167
SW,SL,71.667
SW,PL,88.333
SW,PW,89.167
PL,SL,87.5
PL,SW,88.333
PL,PW,88.333
PW,SL,84.167
PW,SW,89.167
PW,PL,88.333
