Feature A,Feature B,Accuracy
SL,SW,65.556
SL,PL,91.111
SL,PW,88.889
SW,SL,65.556
SW,PL,90.0
SW,PW,93.333
PL,SL,91.111
PL,SW,90.0
PL,PW,92.222
PW,SL,88.889
PW,SW,93.333
PW,PL,92.222
